x,y,f
-10.0331,8.99879,7.90691e+08
-10.0331,9.20566,8.336e+08
-10.0331,9.41253,8.83757e+08
-10.0331,9.61939,9.42164e+08
-10.0331,9.82626,1.00994e+09
-10.0331,10.0331,1.08833e+09
-10.0331,10.24,1.1787e+09
-9.82626,-10.24,1.51689e+09
-9.82626,-10.0331,1.39114e+09
-9.82626,-9.82626,1.28103e+09
-9.82626,-9.61939,1.18481e+09
-9.82626,-9.41253,1.10092e+09
-9.82626,-9.20566,1.02794e+09
-9.82626,-8.99879,9.64572e+08
-9.82626,-8.79192,9.09678e+08
-9.82626,-8.58505,8.6222e+08
-9.82626,-8.37818,8.21271e+08
-9.82626,-8.17131,7.86006e+08
-9.82626,-7.96444,7.55687e+08
-9.82626,-7.75758,7.29662e+08
-9.82626,-7.55071,7.07349e+08
-9.82626,-7.34384,6.88238e+08
-9.82626,-7.13697,6.71876e+08
-9.82626,-6.9301,6.57868e+08
-9.82626,-6.72323,6.45868e+08
-9.82626,-6.51636,6.35573e+08
-9.82626,-6.30949,6.2672e+08
-9.82626,-6.10263,6.19082e+08
-9.82626,-5.89576,6.12464e+08
-9.82626,-5.68889,6.06697e+08
-9.82626,-5.48202,6.01638e+08
-9.82626,-5.27515,5.97164e+08
-9.82626,-5.06828,5.93171e+08
-9.82626,-4.86141,5.89574e+08
-9.82626,-4.65455,5.86298e+08
-9.82626,-4.44768,5.83284e+08
-9.82626,-4.24081,5.80481e+08
-9.82626,-4.03394,5.77848e+08
-9.82626,-3.82707,5.75351e+08
-9.82626,-3.6202,5.72964e+08
-9.82626,-3.41333,5.70664e+08
-9.82626,-3.20646,5.68434e+08
-9.82626,-2.9996,5.6626e+08
-9.82626,-2.79273,5.64132e+08
-9.82626,-2.58586,5.62041e+08
-9.82626,-2.37899,5.59981e+08
-9.82626,-2.17212,5.57947e+08
-9.82626,-1.96525,5.55936e+08
-9.82626,-1.75838,5.53944e+08
-9.82626,-1.55152,5.5197e+08
-9.82626,-1.34465,5.50012e+08
-9.82626,-1.13778,5.48069e+08
-9.82626,-0.930909,5.4614e+08
-9.82626,-0.72404,5.44225e+08
-9.82626,-0.517172,5.42324e+08
-9.82626,-0.310303,5.40436e+08
-9.82626,-0.103434,5.38561e+08
-9.82626,0.103434,5.36698e+08
-9.82626,0.310303,5.34849e+08
-9.82626,0.517172,5.33012e+08
-9.82626,0.72404,5.31188e+08
-9.82626,0.930909,5.29377e+08
-9.82626,1.13778,5.27579e+08
-9.82626,1.34465,5.25795e+08
-9.82626,1.55152,5.24025e+08
-9.82626,1.75838,5.22271e+08
-9.82626,1.96525,5.20532e+08
-9.82626,2.17212,5.18811e+08
-9.82626,2.37899,5.17109e+08
-9.82626,2.58586,5.15429e+08
-9.82626,2.79273,5.13775e+08
-9.82626,2.9996,5.12149e+08
-9.82626,3.20646,5.10558e+08
-9.82626,3.41333,5.09009e+08
-9.82626,3.6202,5.07511e+08
-9.82626,3.82707,5.06076e+08
-9.82626,4.03394,5.04717e+08
-9.82626,4.24081,5.03452e+08
-9.82626,4.44768,5.02305e+08
-9.82626,4.65455,5.01302e+08
-9.82626,4.86141,5.00478e+08
-9.82626,5.06828,4.99873e+08
-9.82626,5.27515,4.99538e+08
-9.82626,5.48202,4.99532e+08
-9.82626,5.68889,4.99928e+08
-9.82626,5.89576,5.0081e+08
-9.82626,6.10263,5.0228e+08
-9.82626,6.30949,5.04458e+08
-9.82626,6.51636,5.07483e+08
-9.82626,6.72323,5.1152e+08
-9.82626,6.9301,5.16759e+08
-9.82626,7.13697,5.2342e+08
-9.82626,7.34384,5.31758e+08
-9.82626,7.55071,5.42067e+08
-9.82626,7.75758,5.54682e+08
-9.82626,7.96444,5.69987e+08
-9.82626,8.17131,5.88418e+08
-9.82626,8.37818,6.10472e+08
-9.82626,8.58505,6.36709e+08
-9.82626,8.79192,6.67763e+08
-9.82626,8.99879,7.04346e+08
-9.82626,9.20566,7.47258e+08
-9.82626,9.41253,7.97395e+08
-9.82626,9.61939,8.55758e+08
-9.82626,9.82626,9.23462e+08
-9.82626,10.0331,1.00175e+09
-9.82626,10.24,1.09199e+09
-9.61939,-10.24,1.4195e+09
-9.61939,-10.0331,1.29435e+09
-9.61939,-9.82626,1.18481e+09
-9.61939,-9.61939,1.08914e+09
-9.61939,-9.41253,1.00577e+09
-9.61939,-9.20566,9.33273e+08
-9.61939,-8.99879,8.70377e+08
-9.61939,-8.79192,8.15931e+08
-9.61939,-8.58505,7.689e+08
-9.61939,-8.37818,7.28362e+08
-9.61939,-8.17131,6.93491e+08
-9.61939,-7.96444,6.63552e+08
-9.61939,-7.75758,6.37891e+08
-9.61939,-7.55071,6.15931e+08
-9.61939,-7.34384,5.97161e+08
-9.61939,-7.13697,5.81129e+08
-9.61939,-6.9301,5.67443e+08
-9.61939,-6.72323,5.55754e+08
-9.61939,-6.51636,5.45763e+08
-9.61939,-6.30949,5.37208e+08
-9.61939,-6.10263,5.29861e+08
-9.61939,-5.89576,5.23527e+08
-9.61939,-5.68889,5.1804e+08
-9.61939,-5.48202,5.13255e+08
-9.61939,-5.27515,5.09051e+08
-9.61939,-5.06828,5.05324e+08
-9.61939,-4.86141,5.01989e+08
-9.61939,-4.65455,4.98973e+08
-9.61939,-4.44768,4.96214e+08
-9.61939,-4.24081,4.93665e+08
-9.61939,-4.03394,4.91282e+08
-9.61939,-3.82707,4.89034e+08
-9.61939,-3.6202,4.86893e+08
-9.61939,-3.41333,4.84838e+08
-9.61939,-3.20646,4.82851e+08
-9.61939,-2.9996,4.80918e+08
-9.61939,-2.79273,4.7903e+08
-9.61939,-2.58586,4.77177e+08
-9.61939,-2.37899,4.75353e+08
-9.61939,-2.17212,4.73555e+08
-9.61939,-1.96525,4.71777e+08
-9.61939,-1.75838,4.70018e+08
-9.61939,-1.55152,4.68276e+08
-9.61939,-1.34465,4.66548e+08
-9.61939,-1.13778,4.64835e+08
-9.61939,-0.930909,4.63135e+08
-9.61939,-0.72404,4.61447e+08
-9.61939,-0.517172,4.59772e+08
-9.61939,-0.310303,4.5811e+08
-9.61939,-0.103434,4.56459e+08
-9.61939,0.103434,4.54819e+08
-9.61939,0.310303,4.53192e+08
-9.61939,0.517172,4.51576e+08
-9.61939,0.72404,4.49972e+08
-9.61939,0.930909,4.4838e+08
-9.61939,1.13778,4.46801e+08
-9.61939,1.34465,4.45234e+08
-9.61939,1.55152,4.4368e+08
-9.61939,1.75838,4.4214e+08
-9.61939,1.96525,4.40615e+08
-9.61939,2.17212,4.39107e+08
-9.61939,2.37899,4.37616e+08
-9.61939,2.58586,4.36146e+08
-9.61939,2.79273,4.347e+08
-9.61939,2.9996,4.33282e+08
-9.61939,3.20646,4.31897e+08
-9.61939,3.41333,4.30552e+08
-9.61939,3.6202,4.29257e+08
-9.61939,3.82707,4.28022e+08
-9.61939,4.03394,4.26861e+08
-9.61939,4.24081,4.25793e+08
-9.61939,4.44768,4.2484e+08
-9.61939,4.65455,4.24029e+08
-9.61939,4.86141,4.23393e+08
-9.61939,5.06828,4.22974e+08
-9.61939,5.27515,4.2282e+08
-9.61939,5.48202,4.22992e+08
-9.61939,5.68889,4.23561e+08
-9.61939,5.89576,4.24612e+08
-9.61939,6.10263,4.26246e+08
-9.61939,6.30949,4.28582e+08
-9.61939,6.51636,4.31758e+08
-9.61939,6.72323,4.35939e+08
-9.61939,6.9301,4.41314e+08
-9.61939,7.13697,4.48103e+08
-9.61939,7.34384,4.5656e+08
-9.61939,7.55071,4.66977e+08
-9.61939,7.75758,4.79689e+08
-9.61939,7.96444,4.95078e+08
-9.61939,8.17131,5.13581e+08
-9.61939,8.37818,5.3569e+08
-9.61939,8.58505,5.61967e+08
-9.61939,8.79192,5.93043e+08
-9.61939,8.99879,6.29628e+08
-9.61939,9.20566,6.72522e+08
-9.61939,9.41253,7.22619e+08
-9.61939,9.61939,7.80916e+08
-9.61939,9.82626,8.48529e+08
-9.61939,10.0331,9.26695e+08
-9.61939,10.24,1.01679e+09
-9.41253,-10.24,1.33449e+09
-9.41253,-10.0331,1.20992e+09
-9.41253,-9.82626,1.10092e+09
-9.41253,-9.61939,1.00577e+09
-9.41253,-9.41253,9.22884e+08
-9.41253,-9.20566,8.50854e+08
-9.41253,-8.99879,7.88401e+08
-9.41253,-8.79192,7.34376e+08
-9.41253,-8.58505,6.87748e+08
-9.41253,-8.37818,6.47594e+08
-9.41253,-8.17131,6.1309e+08
-9.41253,-7.96444,5.83504e+08
-9.41253,-7.75758,5.58183e+08
-9.41253,-7.55071,5.3655e+08
-9.41253,-7.34384,5.18095e+08
-9.41253,-7.13697,5.02369e+08
-9.41253,-6.9301,4.88978e+08
-9.41253,-6.72323,4.77577e+08
-9.41253,-6.51636,4.67865e+08
-9.41253,-6.30949,4.59582e+08
-9.41253,-6.10263,4.525e+08
-9.41253,-5.89576,4.46427e+08
-9.41253,-5.68889,4.41194e+08
-9.41253,-5.48202,4.36658e+08
-9.41253,-5.27515,4.327e+08
-9.41253,-5.06828,4.29215e+08
-9.41253,-4.86141,4.26117e+08
-9.41253,-4.65455,4.23336e+08
-9.41253,-4.44768,4.20809e+08
-9.41253,-4.24081,4.18489e+08
-9.41253,-4.03394,4.16333e+08
-9.41253,-3.82707,4.1431e+08
-9.41253,-3.6202,4.12391e+08
-9.41253,-3.41333,4.10556e+08
-9.41253,-3.20646,4.08788e+08
-9.41253,-2.9996,4.07073e+08
-9.41253,-2.79273,4.054e+08
-9.41253,-2.58586,4.03762e+08
-9.41253,-2.37899,4.02152e+08
-9.41253,-2.17212,4.00565e+08
-9.41253,-1.96525,3.98998e+08
-9.41253,-1.75838,3.97449e+08
-9.41253,-1.55152,3.95915e+08
-9.41253,-1.34465,3.94395e+08
-9.41253,-1.13778,3.92888e+08
-9.41253,-0.930909,3.91393e+08
-9.41253,-0.72404,3.8991e+08
-9.41253,-0.517172,3.88438e+08
-9.41253,-0.310303,3.86978e+08
-9.41253,-0.103434,3.85528e+08
-9.41253,0.103434,3.84089e+08
-9.41253,0.310303,3.82661e+08
-9.41253,0.517172,3.81244e+08
-9.41253,0.72404,3.79838e+08
-9.41253,0.930909,3.78443e+08
-9.41253,1.13778,3.77058e+08
-9.41253,1.34465,3.75686e+08
-9.41253,1.55152,3.74326e+08
-9.41253,1.75838,3.72979e+08
-9.41253,1.96525,3.71645e+08
-9.41253,2.17212,3.70327e+08
-9.41253,2.37899,3.69026e+08
-9.41253,2.58586,3.67744e+08
-9.41253,2.79273,3.66485e+08
-9.41253,2.9996,3.65252e+08
-9.41253,3.20646,3.64051e+08
-9.41253,3.41333,3.62889e+08
-9.41253,3.6202,3.61774e+08
-9.41253,3.82707,3.60718e+08
-9.41253,4.03394,3.59735e+08
-9.41253,4.24081,3.58842e+08
-9.41253,4.44768,3.58061e+08
-9.41253,4.65455,3.5742e+08
-9.41253,4.86141,3.56952e+08
-9.41253,5.06828,3.56697e+08
-9.41253,5.27515,3.56704e+08
-9.41253,5.48202,3.57033e+08
-9.41253,5.68889,3.57755e+08
-9.41253,5.89576,3.58954e+08
-9.41253,6.10263,3.6073e+08
-9.41253,6.30949,3.63203e+08
-9.41253,6.51636,3.6651e+08
-9.41253,6.72323,3.70815e+08
-9.41253,6.9301,3.76306e+08
-9.41253,7.13697,3.83203e+08
-9.41253,7.34384,3.91758e+08
-9.41253,7.55071,4.02263e+08
-9.41253,7.75758,4.15052e+08
-9.41253,7.96444,4.30506e+08
-9.41253,8.17131,4.49059e+08
-9.41253,8.37818,4.71205e+08
-9.41253,8.58505,4.97502e+08
-9.41253,8.79192,5.2858e+08
-9.41253,8.99879,5.65149e+08
-9.41253,9.20566,6.08006e+08
-9.41253,9.41253,6.58042e+08
-9.41253,9.61939,7.16256e+08
-9.41253,9.82626,7.83758e+08
-9.41253,10.0331,8.61785e+08
-9.41253,10.24,9.51709e+08
-9.20566,-10.24,1.26044e+09
-9.20566,-10.0331,1.13641e+09
-9.20566,-9.82626,1.02794e+09
-9.20566,-9.61939,9.33273e+08
-9.20566,-9.41253,8.50854e+08
-9.20566,-9.20566,7.79265e+08
-9.20566,-8.99879,7.1723e+08
-9.20566,-8.79192,6.63602e+08
-9.20566,-8.58505,6.17352e+08
-9.20566,-8.37818,5.77558e+08
-9.20566,-8.17131,5.43399e+08
-9.20566,-7.96444,5.14142e+08
-9.20566,-7.75758,4.89137e+08
-9.20566,-7.55071,4.67807e+08
-9.20566,-7.34384,4.49644e+08
-9.20566,-7.13697,4.342e+08
-9.20566,-6.9301,4.21081e+08
-9.20566,-6.72323,4.09944e+08
-9.20566,-6.51636,4.00488e+08
-9.20566,-6.30949,3.92454e+08
-9.20566,-6.10263,3.85615e+08
-9.20566,-5.89576,3.79778e+08
-9.20566,-5.68889,3.74777e+08
-9.20566,-5.48202,3.70469e+08
-9.20566,-5.27515,3.66733e+08
-9.20566,-5.06828,3.63467e+08
-9.20566,-4.86141,3.60585e+08
-9.20566,-4.65455,3.58016e+08
-9.20566,-4.44768,3.55699e+08
-9.20566,-4.24081,3.53585e+08
-9.20566,-4.03394,3.51634e+08
-9.20566,-3.82707,3.49813e+08
-9.20566,-3.6202,3.48095e+08
-9.20566,-3.41333,3.46459e+08
-9.20566,-3.20646,3.44888e+08
-9.20566,-2.9996,3.43368e+08
-9.20566,-2.79273,3.41889e+08
-9.20566,-2.58586,3.40444e+08
-9.20566,-2.37899,3.39025e+08
-9.20566,-2.17212,3.37629e+08
-9.20566,-1.96525,3.36252e+08
-9.20566,-1.75838,3.3489e+08
-9.20566,-1.55152,3.33543e+08
-9.20566,-1.34465,3.32209e+08
-9.20566,-1.13778,3.30888e+08
-9.20566,-0.930909,3.29577e+08
-9.20566,-0.72404,3.28277e+08
-9.20566,-0.517172,3.26988e+08
-9.20566,-0.310303,3.25709e+08
-9.20566,-0.103434,3.2444e+08
-9.20566,0.103434,3.23181e+08
-9.20566,0.310303,3.21931e+08
-9.20566,0.517172,3.20692e+08
-9.20566,0.72404,3.19462e+08
-9.20566,0.930909,3.18243e+08
-9.20566,1.13778,3.17034e+08
-9.20566,1.34465,3.15836e+08
-9.20566,1.55152,3.14649e+08
-9.20566,1.75838,3.13474e+08
-9.20566,1.96525,3.12311e+08
-9.20566,2.17212,3.11163e+08
-9.20566,2.37899,3.10031e+08
-9.20566,2.58586,3.08917e+08
-9.20566,2.79273,3.07825e+08
-9.20566,2.9996,3.06757e+08
-9.20566,3.20646,3.05721e+08
-9.20566,3.41333,3.04721e+08
-9.20566,3.6202,3.03767e+08
-9.20566,3.82707,3.02871e+08
-9.20566,4.03394,3.02045e+08
-9.20566,4.24081,3.01308e+08
-9.20566,4.44768,3.0068e+08
-9.20566,4.65455,3.0019e+08
-9.20566,4.86141,2.99869e+08
-9.20566,5.06828,2.99759e+08
-9.20566,5.27515,2.99908e+08
-9.20566,5.48202,3.00375e+08
-9.20566,5.68889,3.0123e+08
-9.20566,5.89576,3.02558e+08
-9.20566,6.10263,3.04459e+08
-9.20566,6.30949,3.0705e+08
-9.20566,6.51636,3.10469e+08
-9.20566,6.72323,3.14879e+08
-9.20566,6.9301,3.20468e+08
-9.20566,7.13697,3.27454e+08
-9.20566,7.34384,3.36089e+08
-9.20566,7.55071,3.46664e+08
-9.20566,7.75758,3.59511e+08
-9.20566,7.96444,3.75011e+08
-9.20566,8.17131,3.93597e+08
-9.20566,8.37818,4.15762e+08
-9.20566,8.58505,4.42061e+08
-9.20566,8.79192,4.73124e+08
-9.20566,8.99879,5.09659e+08
-9.20566,9.20566,5.52461e+08
-9.20566,9.41253,6.0242e+08
-9.20566,9.61939,6.60532e+08
-9.20566,9.82626,7.27907e+08
-9.20566,10.0331,8.05778e+08
-9.20566,10.24,8.95515e+08
-8.99879,-10.24,1.19605e+09
-8.99879,-10.0331,1.07255e+09
-8.99879,-9.82626,9.64572e+08
-8.99879,-9.61939,8.70377e+08
-8.99879,-9.41253,7.88401e+08
-8.99879,-9.20566,7.1723e+08
-8.99879,-8.99879,6.55591e+08
-8.99879,-8.79192,6.02337e+08
-8.99879,-8.58505,5.56442e+08
-8.99879,-8.37818,5.16987e+08
-8.99879,-8.17131,4.8315e+08
-8.99879,-7.96444,4.542e+08
-8.99879,-7.75758,4.29489e+08
-8.99879,-7.55071,4.08441e+08
-8.99879,-7.34384,3.90548e+08
-8.99879,-7.13697,3.75364e+08
-8.99879,-6.9301,3.62496e+08
-8.99879,-6.72323,3.51602e+08
-8.99879,-6.51636,3.42381e+08
-8.99879,-6.30949,3.34574e+08
-8.99879,-6.10263,3.27957e+08
-8.99879,-5.89576,3.22336e+08
-8.99879,-5.68889,3.17546e+08
-8.99879,-5.48202,3.13444e+08
-8.99879,-5.27515,3.0991e+08
-8.99879,-5.06828,3.06842e+08
-8.99879,-4.86141,3.04155e+08
-8.99879,-4.65455,3.01778e+08
-8.99879,-4.44768,2.9965e+08
-8.99879,-4.24081,2.97723e+08
-8.99879,-4.03394,2.95956e+08
-8.99879,-3.82707,2.94317e+08
-8.99879,-3.6202,2.92779e+08
-8.99879,-3.41333,2.91322e+08
-8.99879,-3.20646,2.89928e+08
-8.99879,-2.9996,2.88583e+08
-8.99879,-2.79273,2.87279e+08
-8.99879,-2.58586,2.86007e+08
-8.99879,-2.37899,2.8476e+08
-8.99879,-2.17212,2.83534e+08
-8.99879,-1.96525,2.82326e+08
-8.99879,-1.75838,2.81133e+08
-8.99879,-1.55152,2.79954e+08
-8.99879,-1.34465,2.78787e+08
-8.99879,-1.13778,2.77631e+08
-8.99879,-0.930909,2.76485e+08
-8.99879,-0.72404,2.75349e+08
-8.99879,-0.517172,2.74223e+08
-8.99879,-0.310303,2.73106e+08
-8.99879,-0.103434,2.71998e+08
-8.99879,0.103434,2.709e+08
-8.99879,0.310303,2.6981e+08
-8.99879,0.517172,2.68729e+08
-8.99879,0.72404,2.67658e+08
-8.99879,0.930909,2.66596e+08
-8.99879,1.13778,2.65543e+08
-8.99879,1.34465,2.645e+08
-8.99879,1.55152,2.63467e+08
-8.99879,1.75838,2.62446e+08
-8.99879,1.96525,2.61436e+08
-8.99879,2.17212,2.6044e+08
-8.99879,2.37899,2.59458e+08
-8.99879,2.58586,2.58494e+08
-8.99879,2.79273,2.5755e+08
-8.99879,2.9996,2.5663e+08
-8.99879,3.20646,2.55739e+08
-8.99879,3.41333,2.54884e+08
-8.99879,3.6202,2.54073e+08
-8.99879,3.82707,2.53318e+08
-8.99879,4.03394,2.52632e+08
-8.99879,4.24081,2.52032e+08
-8.99879,4.44768,2.5154e+08
-8.99879,4.65455,2.51182e+08
-8.99879,4.86141,2.50992e+08
-8.99879,5.06828,2.51009e+08
-8.99879,5.27515,2.51282e+08
-8.99879,5.48202,2.51869e+08
-8.99879,5.68889,2.52841e+08
-8.99879,5.89576,2.54281e+08
-8.99879,6.10263,2.56288e+08
-8.99879,6.30949,2.5898e+08
-8.99879,6.51636,2.62495e+08
-8.99879,6.72323,2.66993e+08
-8.99879,6.9301,2.72663e+08
-8.99879,7.13697,2.79721e+08
-8.99879,7.34384,2.88419e+08
-8.99879,7.55071,2.99048e+08
-8.99879,7.75758,3.11937e+08
-8.99879,7.96444,3.27467e+08
-8.99879,8.17131,3.4607e+08
-8.99879,8.37818,3.68236e+08
-8.99879,8.58505,3.94522e+08
-8.99879,8.79192,4.25554e+08
-8.99879,8.99879,4.62039e+08
-8.99879,9.20566,5.0477e+08
-8.99879,9.41253,5.54637e+08
-8.99879,9.61939,6.12632e+08
-8.99879,9.82626,6.79863e+08
-8.99879,10.0331,7.57562e+08
-8.99879,10.24,8.47098e+08
-8.79192,-10.24,1.14017e+09
-8.79192,-10.0331,1.01718e+09
-8.79192,-9.82626,9.09678e+08
-8.79192,-9.61939,8.15931e+08
-8.79192,-9.41253,7.34376e+08
-8.79192,-9.20566,6.63602e+08
-8.79192,-8.99879,6.02337e+08
-8.79192,-8.79192,5.49438e+08
-8.79192,-8.58505,5.03878e+08
-8.79192,-8.37818,4.6474e+08
-8.79192,-8.17131,4.31205e+08
-8.79192,-7.96444,4.02543e+08
-8.79192,-7.75758,3.78105e+08
-8.79192,-7.55071,3.57319e+08
-8.79192,-7.34384,3.39677e+08
-8.79192,-7.13697,3.24733e+08
-8.79192,-6.9301,3.12097e+08
-8.79192,-6.72323,3.01425e+08
-8.79192,-6.51636,2.92419e+08
-8.79192,-6.30949,2.84821e+08
-8.79192,-6.10263,2.78406e+08
-8.79192,-5.89576,2.72982e+08
-8.79192,-5.68889,2.68383e+08
